Price,Type,Rooms_group,Bathroom_group,Car_group,date_month,YearBuilt,BuildingArea,Landsize,Suburb,Distance,CouncilArea,Postcode,airbnb_entire_home_price_mean,airbnb_one_room_price_mean,airbnb_location_score_mean
1480000.0,h,2,1,1,2016-03,,,202.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1035000.0,h,2,1,0,2016-04,1900.0,79.0,156.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1465000.0,h,3,2,0,2017-04,1900.0,150.0,134.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
850000.0,h,3,2,1,2017-04,,,94.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1600000.0,h,4,1,2,2016-04,2014.0,142.0,120.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
941000.0,h,2,1,0,2016-07,,,181.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1876000.0,h,3,2,0,2016-07,1910.0,210.0,245.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1636000.0,h,2,1,2,2016-08,1890.0,107.0,256.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
300000.0,u,1,1,1,2016-08,,,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1097000.0,h,2,1,2,2016-08,1900.0,75.0,220.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
700000.0,u,2,2,1,2016-12,,,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1350000.0,h,3,2,2,2016-12,2005.0,190.0,214.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
